STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/21/2020,80,"H,,S",93,",,S",66,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/22/2020,81,"H,,S",94,",,S",69,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/23/2020,79,"H,,S",91,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/24/2020,76,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/25/2020,74,"H,,S",86,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/26/2020,74,"H,,S",84,",,S",64,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/27/2020,81,"H,,S",99,",,S",64,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/28/2020,76,"H,,S",92,",,S",68,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/29/2020,79,"H,,S",90,",,S",70,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/30/2020,84,"H,,S",99,",,S",69,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,7/31/2020,86,"H,,S",,,73,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,8/1/2020,77,"H,,S",97,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,8/2/2020,72,"H,,S",81,",,S",66,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,8/3/2020,70,"H,,S",80,",,S",60,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,8/4/2020,71,"H,,S",81,",,S",60,",,S"
